expressions,synonyms,ex
fired up ,agitated; angry,neville got a bit fired up when his team started losing.
crash course,concise explanation; intensive course,"I can give you a crash course if you like, it's actually pretty straightforward.
Kudos to him for giving a crash course in digirtal marketing."
worked up,upset or very excited,he was worked up because his team conceded a goal in the last minute of the game.
control freak,person who likes to be in control of a situation,my ex was a control freak and asks me where I am like every 15 minutes.
needle in a haystack,sth very hard to find,finding bugs in source code is like looking for a needle in a haystack.
put up with sth,tolerate sth,I shouldn't have to put up with noisy children in the library.
put sb on the spot,ask sb a question that is difficult or embarrassing to answer,"sorry for putting you on the spot but when can you finish the work?
I have a real fear of being put on the spot when I am talking to my boss."
wasted,drunk,I get wasted so easily
ego-boosting,confidence increasing,the feedback that I got from my boss was pretty ego-boosting.
carry the team,be responsible for a team's productivity,it is a bit insane to ask an 18-year-old rookie to carry the team.
down in the dumps,gloomy or depressed,tom has been down in the dumps ever since Yuki broke up with him.
backfire,have the unintended opposite result,"the sleeping pills that I took last night backfired on me, as I couldn't wake up in the morning."
iffy,uncertain; doughtful,I am still iffy about going to australia this summer.
go down well,get received positively,my joke didn't go down well.
step up,taken on additional responsibility,young players stepped up in the absense of several experienced stars.
inch perfect,extremly accurate,"the player netted an inch-perfect equalizer.
Don't worry about making it inch perfect given that it's just a draft."
keep one's head,remain calm,just keep your head and concentrate on what you are doing now.
rule of thumb,broadly accurate rule,"as a rule of thumb, it is uncommon for japanese people to eat or drink while walking."
crack  (sb) up,(make sb) laugh a lot,this video just cracked me up so bad.
give some context,give some background information,"to give you some context, I bought a pink car only because my gf wanted it."
go all out,be excessive,the will go all out to get exactry what they want.
cover all bases,prepare for every possible scenario,she covered all bases by booking a venue that also served vegetarian food.
by the book,rule abiding,"he is very by the book, as he only ever performs tasks under instruction from his manager."
think it through,contemplate,I need to think it through a bit first before I answer your question.
heads-up,preliminary notice,when you are ready to start a meeting give me a heads up.
call it(a day),stop working for the rest of the day,"I am calling it at 6 o'clock.
Lets call it a day and go home."
in a roundabout way,indirectly,did you tell me you love me in a roundabout way?
under the weather,sick,"she didn't come to school today, as she's been feeling under the weather for a few days."
drag one's feet,procrastinate,my kid's been dragging his feet with his homework.
clear the air,resolve a dispute,we should meet up to clear the air.
guesstimate,estimate made with little or no basis,my guesstimate id that the stock market could cascade further.
dig deep,put in a lot of effort,I had to dig deep to build muscle on my abs.
bells and whistles,additional and unnecessary features,"I don't know why he bought a car with all the bells and whistles, as he only drives on weekends."
look sharp,be well presented,I always try and look sharp for job interviews.
neck and neck,close,the two teams were neck and neck.
mind numbing,extremly boring,I didn't do well in math as I found it incredibly mind numbming.
tell it like it is,be honest,dating a woman who tells like it is is a bit intimidating.
game changer,revolutionary thing ,permant hair removal is a total game changer.
killing it,performing very well,you are killing it at work recently.
make it up as one goes along,improvise,"as there is no plan in place, John is making it up as he goes along."
bounce ideas off sb,talk about ideas with sb to get an opinion,we'll come up with better solution to the problem if we get together and bounce ideas off each other.
pushy,excessively aggressive and persistant,Brian is being very pushy about asking me to work over the weekend.
steal,bargain,five dollars for lunch is a steal.
wrap sth up,finish sth,can we wrap up this meeting pretty soon? We're already 2 hours over time.
not add up,not make sense,I listened to his explanation but something still doesn't add up.
destroyed,upset,he was destroyed about his parents' divorce.
not too far off(sth),numerically close(to sth),we're not too far off making our sales target this week.
heart and soul,most fundamental component,Tim is the heart and soul of the team.
look on the bright side,think positively,try looking on the bright side. You'll be happier that way.
bits and pieces,small things of different types; small parts,"I only read bits and pieces of the article, as it was quite boring and long."
silver lining,positive aspect,the silver lining to getting my leg broken is that I don't have to go to work for the next week.
take sth to heart,take sth seriously,"you shouldn't take Matt's comments to heart, as he's frustrated today."
park sth,postpone something,canwe park this question for now? Ive just got some other issues im trying to sort out right now.
by hook or by crook,by any means necessary,we'll finish writing this book by Friday by hook or by crook.
sense-check,review,lets do a sense check of the company's performance by comparing its most recent revenue with its historical trend.
stumped,confused,I was really stumped by that math question.
circle back to sth/sb,get back to sth/sb,can we please circle back to the point that Henry made earlier?
hard taskmaster,excessively demanding person,Glen's manager is a hard taskmaster
night and day ,completely different,Kelly's persona at work and after work is night and day
burst sb's bubble,suddenly change sb's perspective,"sorry to bust your bubble, but your next pay rise isnt going to be as good as you thought it would be."
drag sb's name through the mud,tarnish sb's reputation,they really dragged Frank's name through the mud during the meeting.
deep dive,detailed analysis,we should do a deep dive into why the design department has been losing so many employees over the last couple of years.
boil down to sth,be summarized to sth,the success of this project boils down to our ability to efficiently manage costs.
hit the ground running,start well,I always review the notes before the lecture so that I can hit the ground running when I attend the lecture.
wake up on the wrong side of the bed,be in a bad mood,Tania must have woken up on the wrong side of the bed this morning.
low hanging fruit,easily achivable target,the vast majority of websites on this platform have seen as low hanging fruit for hackers for several years.
icebreaker,actively to make people who do not know each other feel more relaxed together,going for a team lunch is a good icebreaker.
mock sth up,draft sth,can you please mock up a few diagrams for the floor plan?
or so,approximately,I think he's 30 or so.
jack of all trades,person who is competent in many areas,"he is known as a jack of all trades. He went from being an accountant, to a soccer coach, to even a comedian."
vanilla,boring; ordinary,the weather is very vanilla conversation topic.
hard-headed,stubborn,I find it hard to deal with Amy. She is so hard headed.
play devil's advocate,take an opposing or alternative view for argument's sake or to examine its validity,"you said the quickest way of securing funding is to ask David, right? Playing devil's advocate, is there anybody more trustworthy?"
crystalize sth,finalize sth,"in order for me to crystalize what the final building will look like, I need the engineer to tell me if the design is practical"
D and M,deep and meaningful conversation,I had a D and M with Mark about his new girlfriend yesterday.
people person,sociable person,Julian is a real people person as he can start a conversation with anybody.
get sth over the line,complete sth,let's get this piece of work over the line and go home early today.
branch out,expand,the cinema software company has started branching out into other markets such as virtual reality.
out of pocket,using one's own money,"if you have an insurance card, you don't have to pay anything out of pocket when you come in for an appointment."
wordsmith sth,refine the wording of sth,I need to wordsmith this report a bit before I can send it to you.
watered-down,diluted,the operating system on an iPhone is like a watered-down version of Mac OS X.
fish for compliments,indirectly seek compliments,the point of uploading a lot of your selfies is to fish for compliments isnt it?
meet sb halfway,compromise with sb,I think we'll get an outcome that suits the both of us if you meet me halfway.
weed out sth/sb,isolate and remove sth/sb,the purpose of resume screeing is essentially to weed out unqualified candidates.
hit pause,cease temporarily,"if you are exhausted from studying too much, hit pause and chill out a bit."
wind down,gradually end; relax,"the construction of the house is winding down, so you should hear a lot less noise from next week."
make a killing ,make a lot of money,Theresa is making a killing selling carrots at the rabbit show.
take a stab in the dark,take a complete guess,I wasn't sure what the answer was so I just took a stab in the dark.
take sth with a gram of salt,view sth with skepticism,"Jeff told me that he could lift a car one-handed, but I took it with a grain of salt."
unwritten rule,custom that is followed by everyone but does not exist in written form,in Japan there is an unwritten rule that you must take off your shoes when walking into a room.
treading water,not progressing,Japan's economy has been treading water for more than 20 years.
grunt work,monotonous work,"I need someone more junior to do the grunt work for this project, as I'm busy working on a few other things."
hold one's cards close to one's chest,be secretive,"I can never tell what Kim is thinking, because she holds her cards very close to her chest."
unheard of,unprecedented,a pink tiger is unheard of
put sb's name in the hat,nominate sb,I think you'd be a great candidate so you should put your name in the hat.
out of sb's league,too good or too expensive for sb,"I have a crush on this girl, but she's way out of my league."
think back to sth,recall dth,she thought back to the time she was late to her economic exam.
leave sb high and dry,leave someone unsupported or helpless,the Prime minister says the government wont leave homeless people high and dry.
lucky break,fortunate event,"in order to have a successful career, you definitely need to have a lucky break here and there."
put one's best foot forward,do one's best,Gabriel put his best foot forward at the interview.
have the final say,have the power to make the final decision,I believe the people should have the final say in deciding their own future.
blow it,miss an opportunity,Emily really blew it at the job interview.
fit like a glove,fit perfectly,this new jacket fits like a glove.
quit while sb is ahead,cease while sb is in a favorable position,Put your business up for sale. It's important to quit while you're ahead.
turn it around,reverse a nagative situation,"dispite the issue at the company, the new CEO has managed to turn it around."
show one's hand,"reveal one's plans, intentions, or ideas","in businesses negotiations, it is critical you don't show your hand straight away."
circa,approximately,mcdnal's was founded circa 1960.
jazz sth up,make sth more exciting or pleading,I am going to jazz up my house by painting the walls light green.
stick out like a sore thumb,be very noticeable in a bad way,any dirt on a white car will stick out like a sore thumb.
born with a silver spoon in one's hand,born into a wealthy family,"will was born with a silver spoon in his hand, so doesn't really need to work."
touch and go,uncertain,My attendance at the party is a bit touch and go as I have a few other things on that night.
bounce,leave,"it's getting late, so let's bounce."
up and running ,operational,it took a few hours to get the car up and running this morning.
dirty laundry,very private and personal matters,the polititian is hiding a lot of his dirty laundry.
rock the boat,cause disruption,"I don't mean to rock the boat, but I think our approach is wrong."
give the green light,give permission,"we should give the green light to commence construction, as the client is getting impatient."
set in stone,no longer changeable,the dates we've discussed are not set in stone as we havent booked anything yet.
backhanded compliment,compliment that also has negative connotation,"that lady literally said ""I love your haircut, it reminds me of freshly mown grass"" isnt this a backhanded compliment?"
sing sb's praises,praise sb enthusiastically,I think John really likes working with you. He's been singing your praises.
props to sb,credit to sb,Props to jamie for assisting with my wedding planning.
with a clean slate,with no infulences from previous history or events,moving to another country will let me begin my career with a clean slate.
chip on one's shoulder,have an angry or unpleasant attitude,James has a chip on his shoulder after not getting in the top 5.
cool as a cucumber,very calm,"despite being asked tough questions by the customer all day long, Ryan was cool as a cucumber."
knuckle down,get serious,Lets knucle down and get this project over the line.
takeaway,key point ,can you share three key takeaways from this training?
ring a bell,sound familier,"that song ring a bell, but I cant quite name it."
call a spade a spade,speak frankly or cleary,I appriciate Emma's feedback because she calls a spade a spade.
front load sth,arrange so that a large portion of sth occurs in the early stage,John front loaded the dinner cooking process by preparing the rice earlier in the day.
drip feed sth,provide gradually in increments,I'll drip feed the documents through to you as I complete them.
wild goose chase,pointless activity,I had been on a wild goose chase this morning just to find free Wi-Fi.
spruce sth/sb up,make sth/sb visually cleaner or more attractive,I spruce up the presentation slides before sending them out
walk in sb's shoes,view from someone's perspective,"to understand customers' needs, we need to walk in their shoes."
spin wheels,not make any progress despite making an effort,our teem has been spinning wheels for the last week because we don't have a clear plan
talk down to sb,talk to sb in a condescending manner,I always feel like Serena is talking down to me.
full of oneself,self centered,Aki is very full of herself and thinks that she doesn't need to work as hard as everybody else.
snapshot,summary,the diagram gave a really good snapshot of the demographics of Japan.
like pulling teeth,very difficult,getting a loan of just $10 from the bank is like pulling teeth.
pull  the trigger,make a decision,"despite the price tag,Liz pulled the trigger and bought the boat."
sketchy,suspicious,I'm sick of dealing with sketchy salesmen.
everything under the sun,many different things,Let's not buy everything under the sun from the supermarket. We're only cooking dinner for two.
go-ahead,permission,"once we get a go-ahead from the manager, we'll be able to start development on that new product."
ramp up sth,increase sth,the police are planning to ramp up security for the NYC Marathon.
play it by ear,improvise,we'll just have to play it by ear and see how things go.
OCD,pedant; cleanliness addiction; obsessive complusive disorder,I have OCD so cannot touch anything like everyone touches.
two sides of the same coin,two interpretations or perceptive of the same thing,being a caring person and being a good listener are two sides of the same coin.
black sheep,disgracefull or embarassing member(of the family),"Steven the black sheep of the family, as he's been arrested a couple of times."
take sth as gospel,believe sth to be true,Michel took the report as gospel.
rool sth out,launch sth,the company has started rolliing out support for the next-gen texting standard.
rough sb up,hit and kick sb,"He didn't rough up the thief, but instead he gave him some advice."
the long and the short of it,the essentioal point or facts,the long and the short of it is that cats hate dogs and we don't really understand why.
not an exact science,not fully precise,while he's quite good at writing songs that popular it's not an exact science.
on second thought,upon refrection,"on the second thought, let's go to a different restaurant."
more art than science,not methodical or fully grounded in reason or logic,coming up with our sales forecasts for next week is more art than science.
bite one's own tongue,refrain from expressing one's thoughts,"I am not good at biting my tongue, as I tend to say whatever I'm thinking at the time."
under lock and key,physically safe,we'll keep your car under lock and key.
rough around the edge,unrefined,"you shouldn't download the updated version yet, as right now it's really rough around the edges."
at the eleventh hour,at the last moment,the booking site is mailing me the the eleventh hour to cancel my ticket and pay extra to buy my ticket again. So annoying.
over the hill,old and past one's prime,the soccer player is over the hill.
settle one's differences,resolve one's disagreements,Let's settle our difference so that we can move forward.
put in the hard yards,make a great effort,"you can tell that Bruce has put in the hard yards, as he has the answer to everything."
time sensitive,urgent,the patient's heart surgery is time sensitive.
have an eye for identifying sth,possess a talent for identifying sth,I think he has an eye for identifying new business opportunities.
play out of one's skin,perform exceptionally well,Japan played out of their skins in the world cup.
throw in the towel,give up,If you give up dreams what's left? The choice is yours but if I were you I would definitely refuse to throw in the towel.
diamond in the rough,person with potential,we should look at promoting Gen a bit quicker as she's a diamond in the rough.
take the sting out of sth,make sth less unpleasant,Lucy took the sting out of the bad news by giving everybody donuts.
shoot for the stars,aim high,it's much better shoot for the stars and fall than it is to never try.
at the end of one's rope,at the end of one's patience,I'm at the end of my rope with Brad's mistakes.
keep sth to oneself,keep sth secret,I think I should keep my ideas to myself as people may steal them.
weigh on sb's mind ,worry sb,the state of the economy in Canada is weighing on Alex's mind.
table sth,postpone sth; suggest sth for discussion,"we've run out of time, so let's table it for discussion for next week's meeting."
straight and narrow,honest and morally good way of life,my father's word put me back on the straight and narrow.
pizzazz,vitality or glamor,his show is sure to be hot and full of pizzazz.
strike while the iron's hot,act on an opportunity promptly while it is still available,strike while iron is hot. This is a once in a lifetime opportunity.
talk shop,talk about work,sorry to talk shop while we're having lunch
right under sb's nose,right in front of sb,I've been looking all over for my mobile and it was right in front of my nose.
go Dutch,split the bill,I don't think I should go Dutch on a first date.
long shot,something that is unlikely to succeed,I thought it was a long shot but I still threw my hat in the ring.
the powers that be ,the authorities,the powers that be have decided to fix up the migration rules and regulations.
keep sb up at night,deeply concern sb,the state of the europian economy keeps me up at night.
like two peas in a pod,very alike,my brother and I are like two peas in a pod.
razor-thin,very small or slim,profits this year is razor thin.
punchy,concise and impactful,I'm going to make my speech short and punchy as I don't have a lot of time.
lax,relaxed,security around the stadium is pretty lax
show face,make an apperance,I'm going to visit the client around 4ish just to show face.
firing all the cylinders,operating at a peak level,the construction project is now firing all the cylinders and should be on track to be completed on schedules.
ignorance is bliss,not knowing is more beneficial,he doesn't know how much his wife is spending on expensive shoes and purses using his card. Ignorance is bliss.
steady the ship,stabilize or calm the situation,the addition of Michael as our new CEO will significantly help us steady the ship.
collecting dust,unused for a long period of time,the fidget spinner I bought last year is collecting dust.
be of two minds,undecided,I'm of two minds about buying this house.
gas-guzzler,car that uses a lot of fuel,My car is a real gas guzzler
so on and so forth,et cetra,"kpop, jazz, so on and so forth"
bread and butter,essential element; main source of income,"while I play music on the weekends, my bread and butter is selling insurance."
straw that broke the camel's back,the event or occurrence that finally leads to failure or collapse,the internet procvider has left me with no internet for nearly a week. This is the straw that broke the camel's back.
nag(sb),criticize or complain often in an annoying way,my mom keeps nagging me.
married to the idea,attached to the idea,Emily is very married to the idea as she came up with it by herself.
make or break sth/sb,be the factor which decides whether sth/sb will succeed or fail,"some say that sportify a relatively new digital music service, can make or break an artist."
trailblazer,innovator or pioneer,there are two types of people in the world: traditionalist and traibrazer.
take sth as read,assume sth has been read,we wont go into too much detail on the financial aspect as we'll take that part as read.
soften the blow,reduce the nagative impact,news of a new manager being hired should soften the blow of Rick leaving the company.
put one's money where one's mouth is,behave in a way consistant with one's claims,"if you really wanna help the poor, you should put your money where your mouth is."
shell shocked,stunnd to the point of inactivity,"when her foster mom initially met her, she was shell shocked."
hindsight is 20/20,it's obvious now,hindsight is 20/20 but we should have booked a flight much earlier. It's so expensive now.
show sb the ropes,show sb how to do a particuler job or task,although he's still young he has learned a lot already thank to having some older heads showing him the ropes
put two and two together,deduce,I put two and two together and worked out who is getting promoted next month.
red herring,something that disrtacts attention from the real issue,"the first question is a red herring, as it doesn't relate to the topic of this discussion."
take stock of sth,assess sth,I need to take shock of the situation for a day or two before I can give you a good answer.
pull some strings,use personal connections;control a situation by operating behind the scenes.,"she knows a lot of people in the theare, so she's usually able to pull some strings to get tickets."
snappy,irritable,Dan's a bit snappy today. I think it's because he didn't get enough sleep last night.
call the shots,has the power to make decisions,My girlfriend calls most of the shots in our relationships.
be-all and end-all,most important element,the be-all and end-all of life should not be to get rich but to enrich the world.
a few sandwiches short of a picnic,stupid,he appears to be a few sandwiches short of a picnic. (he is stupid; lack of sth)
on cloud nine,extremely happy,I was on cloud nine when I passed the exam.
once in a life time,very rare,this is the once in a life time opportunity so don't let it slip
ask for the world,ask for sth that is very difficult to attain,does he want a ferrari for his birthday? He is asking for the world.
under the table,in secret,"I don't work unser the table, I want to work in an official way."
smooth things over,make things less serious and easier to deal with,let me smooth things over with the customer before you speak to them again.
david and goliath,uneven or unbalanced,that court is a real David and Goliath situation.
sight for sore eyes,person or thing that is pleasant to see,she is super cute! She is definitely a sight for sore eyes.
temest in a teapot,small event that is disproportionately exaggerated,"the dispute over the Liancourt Rocks initially appeared to be a tempest in a teapot, but it later became a serious issue."
sick,"cool, excellent",that new film is sick.
all's well that ends well,the process is irrelevant if the outcome is good,"we conceded two goals during the match, but we still won the game. All's well that ends well."
selective memory,deliberate ignorance of certain past events,I think I have a selective memory as I always only seem to remember positive comments.
sell oneself short,undervalue oneself,"you are much more attractive than you think, so you shouldn't sell yourself short."
be in for the long haul,be commited for a long period of time,"the interviewer asked me how long I think I'll be at the company for, so I told him that I'm in for the long haul."
speak for itself,needs little or no further explanation,the quality of Tom's work speaks for itself.
pump iron,lift weights,Pumping iron with loud music really helps me release all my stress. It feels amazing.
move heaven and earth,do everything possible,I moved heaven and earth to be able to make this dinner tonight.
throw sb a bone,give a little reward to appease sb,the customers are complaining about the lack of availability of the new phone so let's throw them a born by giving them free headphones.
full steam ahead,with the utmost speed or energy,the construction of the building is going full steam ahead.
picture this,visualize this,picture this: you think it is a killer selfie but you acutually have ketchup on your face. Terrible.
ship-shape,tidy,the report is ship-shape and ready to send to the client.
run riot,behave in a violent way; spread uncontrollably,"in the name of justice, peaceful people there ran riot."
kudos,credit,Kudos to Anthony for the great christmas present that he got me.
stars are aligned,many favorable conditions are present,I would expect to see a significant increase in profit this year simply because all the stars are aligned.
carry a tune,sing well,he cant really carry a tune but he's an excellent dancer.
the Midas touch,the ability to make money easily,that salesperson has the Midas touch.
nothing to sneeze at ,not an inconsequential matter,a ten per cent pay rise is nothing to sneeze at in the current economic climate.
walk on eggshells,be extremely cautious about one's words or actions.,I feel like I have to walk on eggshells when I am speaking with my boss.
walk on sunshine,be very happy,Nick was walking on sunshine because he had just won the lottery.
scratch the surface,deal with only a very small part,I know you feel like you know everything about english but you have just scrached the surface.
staycation,vacation in or around one's home,Tom enjoys staycations because he doent like flying.
stretch goal/target,deliberately challenging or ambitious aim,"as we are forecasting growth of 10% even in the best-case scenario, I think the 20% goal is a stretch target."
on the way out,absolete; about to cease employment,I am on the way out. I am retiring this year.
early bird,early riser,"George is a real early bird. He's always at the gym before I even wake up. Well, I can do the same as a one off but not consistently."
gut feeling,instinct,you don't have to believe what I said but my gut feeing always turns out to be true.
up to snuff,up to the required standard,I need to make sure that Mark's work is up to snuff before I send it to the client. His attention to detail is pretty poor.
on fire,doing exceptionally well,"Kevin's been on fire lately. New girlfriend, promotion at work, and going on holidays next week."
couldn't careless,be unconcerned,at the end of the day I couldn't careless about anyone else's opinion. I believe in myself.
get ahead of oneself,act too early,my biggest problem is getting way ahead of myself sometimes. I need to stop jumping the gun.
luck of the draw,the result of chance,"success is partly luck of the draw, but whether you can think and make an effort is way more important than that."
chip in,contribute,I'll chip in 5 dollars for that present we're buying for John.
work (sth) out,solve sth; go well,I am pretty stressed at the moment. I am trying to work out this math problem my teacher gave me.
simple as that,very straightforward,I need you to finish this report by tomorrow. Simple as that.
drag on,progress slowly,this meeting has dragged on for a while. Do you know if it's going to finish soon?
still early days,still early in the process,"it's still early days so we havent finished planning our entire itinerary yet. I've also been slammed at work, so havent had time."
no chance,no possibility,"you told me there is no chance that my ex would ever message me back. I sent her a message just to prove you wrong, and yep, you were right."
I'm off,I'm leaving,"I'm off, I will see you tomorrow."
get on with sth,continue doing sth,let's just get on with it. We have a lot of work to get through and cant afford to spin wheels.
cut back on sth,reduce sth,it's gonna be a bit tricky but I should cut back on my coffee intake. It's costing me a lot each week.
stand sb up,leave sb waiting,I am so sick of Matt. He has stood me up so many times before so I am not going to wait for him any longer.
need to be somewhere,have an appointment to make,I tried to book John for lunch tomorrow but he needs to be somewhere. It is disappointing because I moved heaven and earth to fit him in.
on sb's plate,on sb's to-do list,"I have a lot on my plate at the moment, so I won't be able to help you move house tomorrow."
sb's thinking is (that),sb's opinion is (that),Julie's thinking is that we should buy rather than rent a house as it will be more cost-effective in the long run.
push it,push the limits,I was going to ask my boss for a pay raise but I thought that might be pushing it. I've only been here for a few months.
cut sb some slack,go easy on sb,"cut me some slack, man. I know I asked her outon a date but that was because I didn't know she was your girlfriend."
pack up,gather one's belongings together,"I am going home in a few minutes, so I'm going to pack up."
back to square one,back to where one started,"all my saved games vanished into thin air, so I am completely back to square one. I'm shattered."
pull sth off,succeed in sth,I didn't think that Hamish would be able to pull it off but he managed to get us a few tickets to the concert tonight.
hard to please,difficult to impress,My parents are very hard to please. Anything less than full marks upsets them. Im usually stoked if I pass.
give sb a second,wait for sb for a moment,can you give me a second to grab my coat before we head outside?
stick up for ,protest sb,thank you for sticking up for me. It means a lot.
let it slide,negligently allow,I will let it slide this time but I wont let you next time.
look into,investigate sth,I still havent received the refund I requested a month ago. Can you please look into this?
full-on,overwhelming,the work that you've given to me is pretty full-on. I might need you to give me a hand with it later.
